task_id,arrival_time,cpu_demand,memory,deadline,priority,assigned_resource,latency_cost,energy_cost,sla_violation,overload,reward,edge_cpu_0,edge_mem_0,edge_energy_0,edge_cpu_1,edge_mem_1,edge_energy_1,edge_cpu_2,edge_mem_2,edge_energy_2,edge_cpu_3,edge_mem_3,edge_energy_3,edge_cpu_4,edge_mem_4,edge_energy_4,cloud_cpu_0,cloud_mem_0,cloud_cpu_1,cloud_mem_1,latency_0,bandwidth_0,latency_1,bandwidth_1,latency_2,bandwidth_2,latency_3,bandwidth_3,latency_4,bandwidth_4,latency_5,bandwidth_5,latency_6,bandwidth_6,latency_7,bandwidth_7,latency_8,bandwidth_8,latency_9,bandwidth_9
0,4,4980,493,1,1,5,0.8836452888368393,0.7377857973081591,1,0.39418061773961766,-0.8331403621938952,0.5741130353630687,0.27594927883884773,0.5985681009246491,0.7467311976335964,0.28957075408191013,0.9371158795075634,0.6824141284306676,0.35576106434627114,0.4772046495121892,0.29945744094346466,0.585045960180556,0.6242996860083294,0.7280621159694365,0.6734005010727813,0.7956882173047028,0.9946183506621367,0.7128902950350225,0.522639420309497,0.8250793262891893,61.166031283941386,288.7269954704673,69.37507353853384,282.93967669464223,73.70746316031713,854.1316196141881,91.36691745498753,380.422441786036,26.135714150784057,744.1539850064607,22.941319502594748,453.1084024532684,8.35795751980131,511.086920299001,15.860423208573769,194.28240219488436,65.29746925125814,29.386764338485428,49.138476355503165,470.7326302487966
1,5,8260,279,2,0,2,0.508253613229066,0.8018534610125111,0,0.2501521213917084,-0.40336734202247176,0.6870978431648301,0.7554131732306013,0.47162623593659003,0.6249789103790444,0.5889760062807186,0.45880488593310526,0.5219250132585814,0.7317892916038533,0.8100373080666698,0.9639367952425315,0.8896865381116268,0.42595612967961116,0.8795516490488928,0.4993304187745941,0.3834077799166038,0.66575470883424,0.9989916642588095,0.5660621551334173,0.5019959658228893,72.00582883071502,333.82147200663485,62.598281980872116,985.2546367540348,70.94325504180962,174.0823234749034,53.54661676867281,101.41433738063705,94.87910339501629,352.47844226800765,67.77456317207312,318.35797805816924,70.88527325360117,535.7991151199449,88.4339842471309,283.91258761331363,61.332576317852954,514.8167203845312,23.588184516577765,259.3673392316613
2,8,2419,495,6,0,6,0.3116082710410816,0.28821444816408226,0,0.7345605728461694,-0.25457256419001606,0.6680679799359363,0.7505911490769344,0.4812651568178905,0.20510226021409317,0.7268046438855686,0.8742296516018819,0.5456985937358185,0.7091965270030325,0.904679209929059,0.7602717828400791,0.6667967675301557,0.3730711872874087,0.2938353878155939,0.7809262532576833,0.3767775328681207,0.8910092516271205,0.9239775025023795,0.94520651242951,0.7793617313392117,43.16258765703351,989.3977190655104,72.79869929724755,463.82677139168584,92.69175643434977,704.4417705067855,48.50954168747719,766.7265657563511,23.1594739042411,959.0523707891456,32.14279260644234,472.6041870583692,43.230867733041286,711.4003405054231,73.31166800239284,30.021110829724716,11.45008330556208,580.5292657455248,5.705299964549362,743.0874276607113
3,11,1059,171,8,0,5,0.9627970659802214,0.6506380578580695,0,0.38763255492709214,-0.5384017430503041,0.5252396932573938,0.8548346436841163,0.8860056254188435,0.3533801791621105,0.5137035830417269,0.9621497949203572,0.47051438971905424,0.7238105574046543,0.6361419113666102,0.22133536321585848,0.3988087259385954,0.8943532006963808,0.3013859058119195,0.8048049892807907,0.9225453997974464,0.7235592696635281,0.6861160251210321,0.9146024101508456,0.975656747920328,99.77434804304046,788.118898885091,35.75245498441257,14.234367735117027,26.2525216626925,625.0752362059691,63.26064350549534,721.2675764648094,93.20876420857252,845.4555400487142,44.52932683099808,592.0978185911728,81.27118771304738,500.17215515594114,28.241877709361376,133.55554202208373,53.96853015852491,406.0883544020759,55.46747511061924,671.2973196052983
4,12,3524,417,4,1,3,0.5359543443221482,0.32806416311028297,0,0.8791844058312199,-0.3575185018734446,0.5638054801114084,0.9043146540998537,0.5525182060183251,0.9185519368286243,0.8091780821250982,0.6532234552882317,0.5924652972806885,0.592872589966269,0.6998007140069639,0.5624619749663073,0.3067500543800448,0.8423902856413616,0.8300555143771913,0.8984824674504872,0.6214572236034925,0.9238108072992007,0.9695071118888587,0.569845230683757,0.5302718365757142,24.291280354680072,882.2830217850337,57.65663368410104,70.44960770027365,58.05647944652447,23.168009885828802,58.30326101070886,755.8146631596046,40.74324275157911,322.2096808443166,63.89201256176207,271.50595942670816,34.71164579789727,630.5077777527376,39.751704188940515,583.3977650589852,5.080505621594665,567.4755685994447,95.6439775199415,662.2605106884353
5,14,4797,486,3,0,6,0.7329369635597544,0.13732838628919708,0,0.33876513144453446,-0.3247365469626667,0.4142640615487646,0.8516972980826301,0.6551726132307696,0.27605499937988487,0.7584030483775956,0.35215125082621646,0.3676580962693433,0.8811879001051819,0.3379201152051794,0.8330406695594259,0.6264214386046643,0.8177698344186985,0.7416383400748947,0.9926258949866031,0.637581381032991,0.6884928156200429,0.8480610022986325,0.5940141156046941,0.8015062716345105,72.05079536219863,765.5356953819132,74.19706971325793,470.32042113027836,78.8709256783288,120.43337561582582,72.07714556673417,827.8660902403329,86.91240817758444,644.0249135714151,3.2605001611967737,870.9621766939298,11.349146917958969,647.91989541889,42.548338779183865,107.36825911197441,86.31398015665525,125.85785227959627,29.63635225509572,191.34314735933594
6,15,2578,182,3,2,5,0.12305539352410727,0.6867361766416811,0,0.3806846362263725,-0.2528218955164951,0.2732265458032287,0.8696581810842678,0.3627426569871352,0.7336745282267598,0.3308770205222915,0.4686027220177469,0.9452411879075002,0.5217230398086687,0.774134654893947,0.23596396480108492,0.3361080212879187,0.6533380463153408,0.6931344767342684,0.3794085814330756,0.8560216405261925,0.8350254804557036,0.8388822331355714,0.6936655473588733,0.9742102738599026,74.9836444065711,389.5949163032921,27.57453537189903,330.1043866033344,99.8676272952735,565.0786949517122,84.26763769497033,76.39151495748554,46.673335057203545,859.8375698038633,88.84521535937989,428.86740527294893,60.91013571998566,879.0744680707517,13.870733108582865,737.6862885210139,66.19610199616622,789.8190967167925,52.13236516456044,205.86794237008237
7,16,8201,478,3,1,5,0.8548909861941976,0.6736327631385353,0,0.6975220109880678,-0.5373722370514097,0.5033316558263297,0.6007779758542169,0.5754084364830926,0.6008251672108044,0.48911944943491303,0.38055914741329305,0.6225430527829501,0.9277923828498318,0.487300365086408,0.816836877973883,0.200092911827369,0.37696887992360506,0.6456100158183511,0.20828427177335984,0.6363320061218507,0.83388740733299,0.9952188613804501,0.9379381389107415,0.6226166493815836,21.038751663548847,764.8734886046244,9.001331478859862,690.0098762864493,88.48613304544267,922.667661384271,39.039316860182424,622.8610924337314,88.63598874762383,883.8456079078175,74.70858246331369,787.8782567178972,3.9530404176692566,925.5792830477801,81.59524795994835,341.07626987897874,23.923237387056844,547.211761591464,42.403605551681565,268.4025665067253
8,18,1707,494,2,1,2,0.8640810765743908,0.5532090934373084,0,0.17654712129263306,-0.4583853622896272,0.6744685025000878,0.9362934753955656,0.6319295087069862,0.4663294750174476,0.3912145935571048,0.35180935580859646,0.30075623822742037,0.2019773173622877,0.4340476473169043,0.7461858667374659,0.5500929921979059,0.9789082017520423,0.20038571238276132,0.3565188350245156,0.9884442444964467,0.7063761718575527,0.6468897408553347,0.9859618793123432,0.8674068175617248,36.25596149335565,851.1465156943282,2.3623488974712936,201.52045353071006,85.61094381711055,559.7519226946087,70.84035089028426,693.7655798788613,47.31379651271414,984.1848246348467,39.465431621276586,186.55974463409422,95.94811752995777,38.926452119730236,87.62917849527706,781.2535191639311,98.52353054688885,966.5665077842381,32.93191637059185,683.973255947581
9,20,9165,235,1,0,5,0.48531835673984725,0.9647794221711015,0,0.7181329849532003,-0.48286957889704196,0.4629737355922954,0.24266391900836448,0.5398485307346252,0.374435163539728,0.6243759032265153,0.4012601140996791,0.510826752604902,0.3121423964155626,0.4318691235132358,0.44901442165106054,0.8695028317472377,0.3570017186951527,0.7633736638018074,0.4417299730512674,0.3598447762377628,0.7043070370304798,0.8511446344328991,0.6068673275748021,0.5728798917590188,63.56598862138299,581.5757001824271,30.659396468109264,225.80988755848185,7.067430801965395,714.7581029141197,84.65282782635349,135.018629239111,43.92541706210106,928.9787112926888,87.59255474829622,896.6105697103299,44.7133849056014,103.35716783242052,5.520659349310455,429.1779772780205,5.71157048038717,125.61807739584326,69.79782998529889,802.4996020240796
